symbol,name,asset_class,exchange,status,coverage_percent,missing_fields,missing_reasons
5007,三星,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5009,榮剛,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5011,久陽,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5013,強新,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5014,建錩,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5015,華祺,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5016,松和,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5201,凱衛,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5202,力新,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5203,訊連,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5205,中茂,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5206,坤悅,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5209,新鼎,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5210,寶碩,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5211,蒙恬,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5212,凌網,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5213,亞昕,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5215,科嘉-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5220,萬達光電,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5222,全訊,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5223,安力-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5225,東科-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5227,立凱-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5228,鈺鎧,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5230,雷笛克光學,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5234,達興材料,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5236,凌陽創新,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5243,乙盛-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5244,弘凱,stock,TWSE,partial,85.71,本益比狀態 | 歷季財報,valuation_source_missing | quarter_history_incomplete
5245,智晶,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5251,天鉞電,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5258,虹堡,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5263,智崴,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5269,祥碩,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5272,笙科,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5274,信驊,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5276,達輝-KY,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5278,尚凡*,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5283,禾聯碩,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5284,jpp-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5285,界霖,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5287,數字,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5288,豐祥-KY,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5289,宜鼎,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5291,邑昇,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5292,華懋,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5299,杰力,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5301,寶得利,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5302,太欣,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5306,桂盟,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
5309,系統電,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5310,天剛,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5312,寶島科,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5314,世紀*,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5315,光聯,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5321,美而快,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5324,士開,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5328,華容,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5340,建榮,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5344,立衛,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5345,馥鴻,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5347,世界,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5348,正能量智能,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5351,鈺創,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5353,台林,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5355,佳總,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5356,協益,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5364,力麗店,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5371,中光電,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5381,光譜,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5386,青雲,stock,TPEx,partial,92.86,歷季財報,quarter_history_incomplete
5388,中磊,stock,TWSE,partial,92.86,歷季財報,quarter_history_incomplete
